t,x(t),y(t),z(t),v_x(t),v_y(t),v_z(t),omega_x(t),omega_y(t),omega_z(t),q0(t),q1(t),q2(t),q3(t),ab_x(t),ab_y(t),ab_z(t)
0.0,0.0,0.0,3.5,-275.0,0.0,275.0,0.0,-0.04,0.0,0.38268343236508984,0.0,-0.9238795325112867,0.0,-6.936717523440033,0.0,6.936717523440031
0.016671628460851445,-4.584697826734147,0.0,8.08333451536004,-275.0,0.0,274.83645132479904,0.0,-0.04,0.0,0.3823753595717746,0.0,-0.9240070802717673,0.0,-6.932090126280655,0.0,6.941341835778028
0.03334325692170289,-9.169395653468294,0.0,12.663942407971867,-275.0,0.0,274.6729026495981,0.0,-0.04,0.0,0.38206724426700805,0.0,-0.9241345253036565,0.0,-6.927459646357742,0.0,6.945963061238167
0.05001488538255433,-13.75409348020244,0.0,17.241823677835477,-275.0,0.0,274.50935397439713,0.0,-0.04,0.0,0.3817590864850456,0.0,-0.9242618675927854,0.0,-6.922826085730509,0.0,6.95058119776535
0.06668651384340578,-18.33879130693659,0.0,21.816978324950874,-275.0,0.0,274.3458052991962,0.0,-0.04,0.0,0.38145088626014734,0.0,-0.9243891071249964,0.0,-6.918189446459543,0.0,6.955196243305851
0.08335814230425723,-22.923489133670735,0.0,26.389406349318058,-275.0,0.0,274.1822566239952,0.0,-0.04,0.0,0.3811426436265782,0.0,-0.9245162438861435,0.0,-6.9135497306068,0.0,6.959808195807315
0.10002977076510866,-27.508186960404878,0.0,30.959107750937022,-275.0,0.0,274.01870794879426,0.0,-0.04,0.0,0.38083435861860765,0.0,-0.9246432778620919,0.0,-6.908906940235602,0.0,6.964417053218764
0.11670139922596011,-32.09288478713903,0.0,35.52608252980777,-275.0,0.0,273.8551592735933,0.0,-0.04,0.0,0.3805260312705101,0.0,-0.9247702090387183,0.0,-6.904261077410642,0.0,6.9690228134906
0.13337302768681156,-36.67758261387318,0.0,40.09033068593031,-275.0,0.0,273.69161059839234,0.0,-0.04,0.0,0.3802176616165645,0.0,-0.9248970374019109,0.0,-6.899612144197979,0.0,6.973625474574598
0.150044656147663,-41.26228044060732,0.0,44.65185221930463,-275.0,0.0,273.5280619231914,0.0,-0.04,0.0,0.37990924969105455,0.0,-0.9250237629375692,0.0,-6.894960142665034,0.0,6.978225034423911
0.16671628460851445,-45.84697826734147,0.0,49.21064712993074,-275.0,0.0,273.36451324799043,0.0,-0.04,0.0,0.37960079552826864,0.0,-0.9251503856316041,0.0,-6.890305074880594,0.0,6.982821490993076
0.1833879130693659,-50.43167609407561,0.0,53.76671541780863,-275.0,0.0,273.2009645727895,0.0,-0.04,0.0,0.37929229916249985,0.0,-0.9252769054699382,0.0,-6.885646942914809,0.0,6.987414842238005
0.20005954153021732,-55.016373920809755,0.0,58.320057082938305,-275.0,0.0,273.0374158975885,0.0,-0.04,0.0,0.37898376062804595,0.0,-0.9254033224385053,0.0,-6.880985748839194,0.0,6.992005086115995
0.21673116999106878,-59.601071747543905,0.0,62.87067212531977,-275.0,0.0,272.87386722238756,0.0,-0.04,0.0,0.37867517995920946,0.0,-0.9255296365232507,0.0,-6.876321494726626,0.0,6.99659222058572
0.23340279845192022,-64.18576957427805,0.0,67.41856054495301,-275.0,0.0,272.7103185471866,0.0,-0.04,0.0,0.37836655719029755,0.0,-0.9256558477101312,0.0,-6.871654182651339,0.0,7.001176243607241
0.25007442691277165,-68.7704674010122,0.0,71.96372234183804,-275.0,0.0,272.54676987198565,0.0,-0.04,0.0,0.37805789235562204,0.0,-0.9257819559851149,0.0,-6.866983814688929,0.0,7.005757153142
0.2667460553736231,-73.35516522774635,0.0,76.50615751597486,-275.0,0.0,272.3832211967847,0.0,-0.04,0.0,0.37774918548949943,0.0,-0.9259079613341815,0.0,-6.862310392916354,0.0,7.0103349471528285
0.2834176838344746,-77.93986305448051,0.0,81.04586606736348,-275.0,0.0,272.21967252158373,0.0,-0.04,0.0,0.37744043662625093,0.0,-0.926033863743322,0.0,-6.857633919411922,0.0,7.014909623603936
0.300089312295326,-82.52456088121465,0.0,85.58284799600385,-275.0,0.0,272.0561238463828,0.0,-0.04,0.0,0.37713164580020236,0.0,-0.9261596631985389,0.0,-6.852954396255308,0.0,7.019481180460922
0.31676094075617744,-87.10925870794881,0.0,90.11710330189602,-275.0,0.0,271.8925751711818,0.0,-0.04,0.0,0.37682281304568427,0.0,-0.9262853596858462,0.0,-6.8482718255275365,0.0,7.024049615690778
0.3334325692170289,-91.69395653468297,0.0,94.64863198503998,-275.0,0.0,271.72902649598086,0.0,-0.04,0.0,0.37651393839703184,0.0,-0.9264109531912694,0.0,-6.84358620931099,0.0,7.0286149272618745
0.3501041976778803,-96.27865436141711,0.0,99.17743404543572,-275.0,0.0,271.5654778207799,0.0,-0.04,0.0,0.37620502188858496,0.0,-0.9265364437008453,0.0,-6.838897549689405,0.0,7.03317711314398
0.3667758261387318,-100.86335218815127,0.0,103.70350948308325,-275.0,0.0,271.40192914557895,0.0,-0.04,0.0,0.375896063554688,0.0,-0.9266618312006222,0.0,-6.83420584874787,0.0,7.037736171308246
0.38344745459958324,-105.44805001488542,0.0,108.22685829798257,-275.0,0.0,271.238380470378,0.0,-0.04,0.0,0.3755870634296903,0.0,-0.9267871156766597,0.0,-6.829511108572827,0.0,7.042292099727217
0.40011908306043464,-110.03274784161957,0.0,112.74748049013367,-275.0,0.0,271.07483179517703,0.0,-0.04,0.0,0.3752780215479455,0.0,-0.9269122971150292,0.0,-6.824813331252072,0.0,7.046844896374833
